City,Location,State,EstimateLow,EstimateHigh,Estimate Full,Actor,Event Type,Source1,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Oakland,Lake Merritt Ampitheater,CA,,,,general protestors,General,https://www.facebook.com/events/478734486196691/,37.8043514,-122.2711639,37.8045574,-122.3153339,Link
Oakland,Grand Lake Farmers Market,CA,41,41,41,SURJ-Oakland/Bay Area,demonstration,https://www.facebook.com/events/390074785196954/,37.8043514,-122.2711639,37.8039604,-122.2760339,Link
Berkeley,Civic Center Park,CA,200,200,200,General,rally,https://www.facebook.com/events/2364561867164921/,37.8715226,-122.273042,37.8736346,-122.290582,Link
Berkeley,University pedestrian bridge over I-80,CA,80,225,80 to 225,Indivisible East Bay; Together We Will-Albany Berkeley; El Cerrito Progressives,General,https://www.facebook.com/events/2924594807764801/,37.8715226,-122.273042,37.8667036,-122.251502,Link
Mill Valley,,CA,,,,general protestors,General,https://twitter.com/boscosmom14/status/1149898384993476610,37.9060368,-122.5449763,37.9057878,-122.4975163,Link
Tappahannock,Beale Annex,VA,19,21,19 to 21,general protestors,vigil,https://www.facebook.com/events/2156112074514324/,37.9254135,-76.8591301,37.9239455,-76.8159801,Link
Richmond,Civic Center Plaza,CA,81,81,81,general protestors,General,https://www.facebook.com/events/2422548191145809/,37.9357576,-122.3477486,37.9399446,-122.3113286,Link
Concord,Todos Santos Plaza,CA,200,200,200,Women's March Contra Costa,General,https://www.facebook.com/events/2346305445644088/,37.9779776,-122.0310733,37.9816906,-122.0432533,Link
Charlottesville,Sidewalk in front of Federal Building W Main & McIntire Blvd,VA,300,525,300 to 525,LightBody Sound Healing Charlottesville,vigil,https://www.facebook.com/events/1159058620944663/,38.0293059,-78.4766781,38.0297939,-78.5122681,Link
Benecia,Gazeebo Park,CA,138,138,138,General,General,https://www.facebook.com/events/350536272520879/,38.049365,-122.1585777,38.052926,-122.2027077,Link
Angel Camp,corners of highway 4 and 49,CA,5,5,5,General,General,https://www.facebook.com/events/845451475854665/,38.0677832,-120.5385299,38.0691942,-120.5565699,Link
Novato,city hall,CA,200,400,200 to 400,general protestors,General,https://www.facebook.com/events/508164993090800/?active_tab=about,38.1074198,-122.5697032,38.1106908,-122.5483832,Link
Staunton,"Augusta County Courthouse, 1 East Johnson Street",VA,65,65,65,general protestors,rally; vigil,https://www.facebook.com/events/3298237453523382/,38.149576,-79.0716958,38.146662,-79.0849558,Link
Frankfort,Capitol,KY,80,80,80,Together Frankfort,General,https://www.facebook.com/events/2709458682401121/,38.2009055,-84.8732835,38.1969435,-84.9223135,Link
Paris,625 High Street,KY,10,10,10,"Lights for Liberty Paris, KY; Art on High",General,https://www.facebook.com/events/2182512632040329/,38.2097987,-84.2529869,38.2091517,-84.3027869,Link
Petaluma,Petaluma Regional Library,CA,164,164,164,NBOP - Petaluma,General,https://www.facebook.com/events/2284098478335548/,38.232417,-122.6366524,38.236293,-122.6426524,Link
Louisville,St. Andrew's Episcopal Church,KY,120,120,120,St. Andrew's Episcopal Church,vigil,https://www.facebook.com/events/1233963856774704/,38.2526647,-85.7584557,38.2478897,-85.7403757,Link
Pueblo,Sister Cities Plaza,CO,26,26,26,Pueblo Indivisible Events; Together Colorado,General,https://www.facebook.com/events/440387640135427/,38.2544472,-104.6091409,38.2575772,-104.6217909,Link
Napa,Oxbow Commons,CA,50,50,50,Indivisible Napa,General,https://www.facebook.com/events/367858463917998/,38.2975381,-122.286865,38.3024391,-122.305925,Link
Mount Solon,near the Walkabout Outfitter tent at Red Wing Roots Music Festival,VA,6,6,6,general protestors,vigil,https://www.facebook.com/events/333617080911711/,38.3448488,-79.085032,38.3421848,-79.128742,Link
Charleston,steps of capitol,WV,60,60,60,Keeper of the Mountains Foundation; St John's Charleston,vigil,https://www.facebook.com/events/655092588235739/,38.3498195,-81.6326234,38.3503285,-81.6312934,Link
Vakaville,One Town Square,CA,51,51,51,General,General,https://www.facebook.com/events/447086672555928/,38.3565773,-121.9877444,38.3575033,-121.9995344,Link
Jasper,Dubois County Courthouse,IN,41,41,41,ONE- Dubois County,General,https://www.facebook.com/events/390263504956134/?active_tab=about,38.3914418,-86.9311094,38.3886758,-86.9116794,Link
Huntington,Federal courthouse,WV,31,31,31,Women's March WV West; Women's March West Virginia; Tri-State Indivisible - wvohky,vigil,https://www.facebook.com/events/378073089726743/,38.4192496,-82.445154,38.4233656,-82.426844,Link
Santa Rosa,Courthouse Square in downtown Santa Rosa,CA,290,290,290,General,General,https://www.facebook.com/events/339681666701076/,38.440429,-122.7140548,38.439936,-122.6759348,Link
Harrisonburg,Court Square,VA,100,100,100,FUEGO Coalition and Shenandoah Valley Virginia Organizing,vigil,https://twitter.com/paix120/status/1149791531706081282,38.4495688,-78.8689155,38.4452938,-78.8736355,Link
St. Louis,Cherokee Buddhist Temple,MO,136,136,136,Cherokee Buddhist Temple,vigil,https://www.facebook.com/events/460643588098040/,38.6270025,-90.1994042,38.6220065,-90.2314042,Link
St. Louis,St. Louis Arch,MO,44,44,44,general protestors,vigil,https://www.facebook.com/events/2405412713021257/,38.6270025,-90.1994042,38.6243575,-90.2090442,Link
Bridgeport,29th and Halsted,IL,42,42,42,First Lutheran Church of The Trinity,General,https://www.facebook.com/events/2274107699302983/,38.7058806,-87.7600285,38.7047046,-87.7124085,Link
Manassas,Harris Pavilion,VA,350,500,350 to 500,general protestors,vigil,https://www.facebook.com/events/1756395937837559/,38.7509488,-77.4752667,38.7548628,-77.4513767,Link
Roseville,First United Methodist Church of Roseville,CA,54,54,54,First United Methodist Church of Roseville,General,https://www.facebook.com/events/435311153984972/,38.7521235,-121.2880059,38.7525105,-121.2794159,Link
Gualala,Sundstrom Shopping Centre,CA,50,50,50,General,General,https://www.facebook.com/events/670488130115333/,38.7722996,-123.5340084,38.7684416,-123.5281984,Link
Alexandria,Market Square,VA,77,77,77,general protestors,vigil; rally,https://www.facebook.com/events/631773920659954/,38.8048355,-77.0469214,38.8039245,-77.0680114,Link
Edwardsville,Madison County Courthouse,IL,55,60,55 to 60,General,General,https://www.facebook.com/events/346147112733135/?active_tab=about,38.8114364,-89.953157,38.8069844,-89.940787,Link
Fredricksburg,Hurkamp Park,VA,50,50,50,general protestors,vigil,https://www.fredericksburg.com/news/local/locals-gather-in-lights-for-liberty-event-to-protest-conditions/article_9906fe84-6b05-5a65-b792-fee010513351.html,38.830193,-119.787033,38.825922,-119.819653,Link
Fairfax,outside Fairfax County Adult Detention Center; 4100 Chain Bridge Rd; near courthouse,VA,135,135,135,CASA; Fairfax for All; others,vigil,https://www.facebook.com/events/355729281810937/?,38.8462236,-77.3063733,38.8454346,-77.3108833,Link
Woodstock,courthouse,VA,131,131,131,general protestors,vigil,https://www.facebook.com/events/677317799381480/,38.8817784,-78.5058429,38.8794194,-78.4760629,Link
Auburn,Place County Courthouse,CA,54,54,54,Indivisible Auburn,General,https://www.facebook.com/events/462084491246893/,38.8965654,-121.0768901,38.8978844,-121.1013701,Link
Washington,Lafayette Square,DC,2500,2500,"2,500",General,General,https://www.facebook.com/events/660338147748249/,38.9071923,-77.0368707,38.9110243,-77.0049407,Link
Columbia,Boone County Jailhouse,MO,36,100,36 to 100,CoMo for Progress; Boone County Democratic Party; Faith Voices of Columbia; Race Matters; other organizations,vigil,https://www.facebook.com/events/1132645486922365/,38.9517053,-92.3340724,38.9526213,-92.3778824,Link
Lawrence,Buford M. Watson Jr. Park,KS,300,300,300,Kansas Appleseed,vigil,https://www.facebook.com/events/360120314648132/,38.9716689,-95.2352501,38.9684999,-95.2774201,Link
Annapolis,Whitmore Park,MD,60,75,60 to 75,March On Maryland,General,https://www.facebook.com/events/358170884846094/,38.9784453,-76.4921829,38.9829053,-76.4535229,Link
Florence,Florence Community Plaza,KY,99,99,99,Indivisible NKY District,General,https://www.facebook.com/events/427771758069020/,38.9989499,-84.6266111,38.9961599,-84.6155211,Link
Sterling,21430 Cedar Dr,VA,100,120,100 to 120,CASA; Sonia 4 Loudon,vigil,https://www.facebook.com/events/469561473612842/475714422997547,39.0066993,-77.4291298,39.0078013,-77.3964798,Link
Lakeport,Old Courthouse Park,CA,50,50,50,Lights for Liberty,protest,https://www.facebook.com/events/341483309881530/,39.0429506,-122.9158293,39.0462996,-122.8884193,Link
Topeka,,KS,130,130,130,General,General,https://twitter.com/TonantzinKansas/status/1149890331581833216,39.0473451,-95.6751576,39.0440111,-95.6597176,Link
Kansas City,Washington Square Park,MO,773,773,773,general protestors,protest; vigil,https://www.facebook.com/events/2347749055288269/,39.0997265,-94.5785667,39.1035505,-94.5932567,Link
Cinncinnati,outside US Sen Rob Portman's downtown office,OH,180,180,180,general protestors,protest,https://twitter.com/Maze_On/status/1149798157083205632,39.1031182,-84.5120196,39.1041342,-84.5381496,Link
Kansas City,Washington Square Park,KS,200,200,200,"Kansas/Missouri Dream Alliance, the KC Metro Immigration Alliance, Indivisible KC and others",General,https://www.facebook.com/events/2347749055288269/,39.1155314,-94.6267873,39.1112504,-94.6712373,Link
Marysville,Yuba County Jail,CA,100,327,100 to 327,NorCal Resist,General,https://www.facebook.com/events/358753358169130/,39.1457253,-121.5913547,39.1499913,-121.5735747,Link
Ukiah,Mendocino County Superior Court,CA,40,40,40,General,General,https://www.facebook.com/events/347120239294200/,39.1501709,-123.2077831,39.1542539,-123.2152031,Link
Bloomington,Monroe County Courthouse,IN,187,187,187,general protestors,General,https://www.facebook.com/events/2425701794332788/,39.165325,-86.5263857,39.165343,-86.5279057,Link
Manhattan,Triangle Park,KS,66,66,66,general protestors,General,https://www.facebook.com/events/201554774094619/?active_tab=about,39.1836082,-96.5716694,39.1815202,-96.5624594,Link
Columbia,Wilde Lake Interfaith Religious Center,MD,600,600,600,CASA: ACLU of Maryland,vigil,https://www.facebook.com/events/491322721641576/?notif_t=event_calendar_create&notif_id=1562626000462048,39.2037144,-76.8610462,39.2036544,-76.8914062,Link
Chestertown,Memorial Park,MD,200,300,200 to 300,Soul Force Politics,General,https://www.facebook.com/events/1318479391643985/,39.2188663,-76.0690036,39.2162473,-76.1040536,Link
Baltimore,Church on the Square; Canton Square,MD,35,35,35,General,General,https://www.facebook.com/events/668732566873013/,39.2903848,-76.6121893,39.2908028,-76.5992193,Link
Baltimore,Patriot Plaza,MD,203,203,203,General,General,https://www.facebook.com/events/373047776896225/,39.2903848,-76.6121893,39.2915858,-76.6435493,Link
Baltimore,City Hall,MD,500,500,500,CASA,vigil,https://www.facebook.com/events/491481034925943/,39.2903848,-76.6121893,39.2919218,-76.5754693,Link
Baltimore,Johns Hopkins University campus,MD,20,20,20,general protestors,General,https://twitter.com/PrettyHonestDoc/status/1151844457966387201,39.2903848,-76.6121893,39.2943518,-76.5684093,Link
Truckee,10022 Spring Street.,CA,42,42,42,general protestors,General,https://www.facebook.com/events/363208321048207/,39.327962,-120.1832533,39.329019,-120.2173233,Link
Ephraim,Main Street in front of City Hall,UT,4,4,4,general protestors,vigil,https://www.facebook.com/events/2401951176532371,39.3596841,-111.5863052,39.3597081,-111.5693052,Link
Atlantic City,O'Donnel Memorial Park,NJ,162,162,162,South Jersey Faith Leaders Paying Attention,vigil,https://www.facebook.com/events/2050344028601695/,39.3642834,-74.4229266,39.3613084,-74.3842766,Link
Towson,around Patriot Plaza,MD,200,200,200,general protestors,vigil,https://www.facebook.com/events/2595640143803515/,39.4014955,-76.6019125,39.3987405,-76.6483025,Link
Frederick,Baker Park Band Shell,MD,100,100,100,RISE Coalition of Western Maryland,vigil,https://www.facebook.com/events/2595640143803515/,39.4142688,-77.4105409,39.4183908,-77.4106509,Link
Marietta,Muskingum Park gazebo,OH,80,80,80,general protestors,vigil; rally,https://www.facebook.com/events/461633821069775/,39.415352,-81.4548436,39.411119,-81.4275436,Link
Brazil,Clay County Jail,IN,63,63,63,general protestors,vigil,https://www.facebook.com/events/355127505201921/,39.523652,-87.1250154,39.520236,-87.1440454,Link
Reno,ReTRAC ,NV,153,153,153,general protestors,vigil,https://www.facebook.com/events/330954524460976/,39.5296329,-119.8138027,39.5271769,-119.7701727,Link
Glenwood Springs,Sayre Park,CO,200,250,200 to 250,general protestors,General,https://www.facebook.com/events/639386353226417/,39.5505376,-107.3247762,39.5460856,-107.2843462,Link
Westminster,Belle Grove Square,MD,100,100,100,Carrol CAN,vigil,https://www.facebook.com/events/2666812356670562/,39.5753791,-76.9958149,39.5791131,-76.9485449,Link
Elkton,Meadow Park,MD,22,22,22,Cecil County Democrat Club,General,https://www.facebook.com/events/2201808843415481/,39.6067789,-75.8332718,39.6085259,-75.8582418,Link
Morgantown,WVU Student Union,WV,65,65,65,Mountaineers for Progress; ACLU of West Virginia; Morgantown Now,vigil,https://www.facebook.com/events/2330904000515091/,39.629526,-79.9558968,39.629173,-79.9238468,Link
Evergreen,corner of Evergreen Parkway and County Road 65,CO,12,12,12,Evergreen Peace,General,https://www.canyoncourier.com/content/evergreen-residents-protest-treatment-migrants,39.6333213,-105.3172146,39.6351903,-105.3022846,Link
Aurora,GEO detention center,CO,1500,2000,"1,500 to 2,000",Lights for Liberty; other organizations,vigil,https://www.facebook.com/events/899744577041187/,39.7294319,-104.8319195,39.7279359,-104.8446495,Link
Wilmington,Rodney Square,DE,200,200,200,General,vigil,https://www.facebook.com/events/440510140073848/,39.744655,-75.5483909,39.744672,-75.5497209,Link
Dayton,Courthouse Square,OH,303,303,303,District 10 Indivisible for All; Dayton Women's Rights Alliance,vigil,https://www.facebook.com/events/887953274871667/?,39.7589478,-84.1916069,39.7582398,-84.1775669,Link
Indianapolis,5652 W 73rd St,IN,200,400,200 to 400,Action Indivisible; Women's Equality Day,General,https://www.facebook.com/events/2097695953632097/,39.768403,-86.158068,39.769841,-86.190218,Link
Winter Park,Fraser Bike Path,CO,45,51,45 to 51,General,General,https://www.facebook.com/events/650006658814284/,39.8916537,-105.7630624,39.8951817,-105.7421724,Link
Media,201 W Front St,PA,257,257,257,Delco PA Indivisible,vigil,https://www.facebook.com/events/2283713671747894/,39.9167783,-75.387693,39.9128453,-75.395183,Link
Philadelphia,12th St & Arch St,PA,200,300,200 to 300,general protestors,march,https://www.facebook.com/events/1055237468200073/,39.9525839,-75.1652215,39.9511959,-75.1184915,Link
Philadelphia,Lovett Park,PA,1000,1400,"1,000 to 1,400",general protestors,protest,https://www.facebook.com/events/2341690896106563/,39.9525839,-75.1652215,39.9506029,-75.1496815,Link
Westchester,United Methodist Church of Westchester,PA,44,44,44,Concerned Constituent Action Group; Indivisible Chester County,vigil,https://www.facebook.com/events/united-methodist-church-of-west-chester/concert-and-vigil-for-humanity-end-the-caging-of-kids/651642865302343/,39.9606643,-75.6054882,39.9596333,-75.6493782,Link
Lafayette,a line along US-287,CO,75,75,75,Cairn Christian Church (Disciples of Christ),General,https://www.facebook.com/events/2691018404264744/,39.9935959,-105.0897058,39.9973059,-105.0649658,Link
Boulder,bandshell,CO,155,155,155,General,General,https://www.facebook.com/events/402277574018082/,40.0149856,-105.2705456,40.0182816,-105.2403056,Link
Exton,Conscious Creations Art Studio,PA,17,17,17,Conscious Creations Art Studio,vigil,https://www.facebook.com/events/1231482330345150/,40.0325817,-75.6274583,40.0352637,-75.6335283,Link
Lancaster,Penn Square,PA,204,204,204,Lancaster Stands Up; CASA,vigil,https://www.facebook.com/events/492814854872061/,40.0378755,-76.3055144,40.0340145,-76.2716744,Link
Urbana,Champaign County Courthouse,IL,227,227,227,CU Indivisible; others on FB event page,General,https://www.facebook.com/events/322624318678799/,40.1105875,-88.2072697,40.1086005,-88.2134997,Link
Lake Como,North Blvd,NJ,150,150,150,general protestors,vigil,https://www.facebook.com/events/408754449729916/,40.1707443,-74.0274216,40.1670363,-74.0324016,Link
Carlisle,steps of the Old Courthouse,PA,66,66,66,general protestors,vigil,https://www.facebook.com/events/479921816095082/,40.2010241,-77.2002745,40.2015881,-77.1864845,Link
Westmoreland,200 Block of N Main St,PA,61,61,61,Voice of Westmoreland,vigil,https://www.facebook.com/events/846302889088696/,40.2353963,-79.4703885,40.2355713,-79.4289685,Link
Greensburg,North Main Street Bridge,PA,200,200,200,Voices of Westmoreland,vigil,https://triblive.com/local/westmoreland/greensburg-group-holds-protest-against-planned-ice-raids-on-illegal-immigrants/,40.3014581,-79.5389289,40.3018131,-79.5322789,Link
Doylestown,Old Courthouse,PA,325,325,325,Rise Up Doylestown; other organizations,vigil,https://www.facebook.com/events/314199252803010/,40.3101063,-75.1298939,40.3126903,-75.0910339,Link
Sellersville,Main & Maple Avenues,PA,25,25,25,general protestors,vigil,https://www.facebook.com/events/2131116217186453/,40.3539926,-75.3048982,40.3527036,-75.2668882,Link
Princeton,Hinds Plaza,NJ,,,,Indivisible Cranbury,vigil,https://www.eventbrite.com/e/lights-for-liberty-tickets-64312049070?aff=ebdssbdestsearch#,40.3572976,-74.6672226,40.3552226,-74.6223426,Link
Hopewell,Hopewell United Methodist Church,NJ,17,17,17,Hopewell United Methodist Church,vigil,https://www.facebook.com/events/2222778334510363/,40.3892726,-74.7618284,40.3861266,-74.7442584,Link
Pittsburgh,Schenely Plaza,PA,200,200,200,Casa San Jose,vigil,https://www.facebook.com/events/449062409262330/?active_tab=discussion,40.4406248,-79.9958864,40.4441968,-80.0405164,Link
Leesport,Berks County Family Detention Center,PA,200,200,200,Shut Down Berks Coalition; CASA; Make the Road Pennsylvania; Indivisible,rally,https://www.facebook.com/events/2424845757577449/,40.4470377,-75.9663221,40.4448977,-75.9625621,Link
Bloomington,City Hall,IL,138,138,138,general protestors,General,https://www.facebook.com/events/2101228906652390/,40.4842027,-88.9936873,40.4807837,-88.9871373,Link
Bloomington,City Hall,IL,,,,Indivisble Peoria Area,General,https://www.facebook.com/events/642702599473921/,40.4842027,-88.9936873,40.4800147,-89.0041073,Link
New Brunswick,Intersection of Albany and George Street,NJ,131,131,131,ACLU People Power- Middlesex,rally; march,https://www.facebook.com/events/336352850591459/,40.4862157,-74.4518188,40.4877557,-74.4705888,Link
Metuchen,First Presbyterian Church,NJ,94,94,94,general protestors,lemonade stand,https://www.facebook.com/events/362280044477597/,40.5431598,-74.3632049,40.5417638,-74.3496249,Link
Mt. Gilead,Morrow County Jail,OH,79,79,79,general protestors,vigil,https://www.facebook.com/events/633784737104622/?,40.5492265,-82.8274014,40.5490485,-82.7994514,Link
Fort Collins,Civic Center Park,CO,150,150,150,Indivisible NOCO; Fort Collins For Progress; Alianza NORCO; the Colorado Immigration Rights Coalition,General,https://www.facebook.com/events/325146275055009/,40.5852602,-105.084423,40.5803912,-105.118333,Link
Redding,Riverside Amphitheater,CA,150,200,150 to 200,General,General,https://www.lightsforliberty.org/,40.5865396,-122.3916754,40.5851066,-122.4277354,Link
Fortuna,Rohner Park,CA,159,159,159,Centro de Pueblo,General,https://www.facebook.com/events/400863220526887/,40.5981867,-124.1572756,40.5980247,-124.1716956,Link
Indiana,IRMC Park,PA,29,29,29,general protestors,protest,https://www.facebook.com/events/397933700841444/?active_tab=about,40.6214551,-79.1525349,40.6215681,-79.1949849,Link
Elizabeth,625 Evans St,NJ,200,200,200,general protestors,vigil,https://www.facebook.com/events/2139438693020425/,40.6639916,-74.2107006,40.6656306,-74.1866606,Link
Peoria,Imago Dei Church,IL,24,24,24,General,General,https://www.facebook.com/events/2350863834990436/?active_tab=about,40.6936488,-89.5889864,40.6924748,-89.6051564,Link
Beaver,county courthouse,PA,135,135,135,Beaver County Voice for Change; Beaver County United; Southwest PA Now,vigil,https://www.facebook.com/events/459567108213134/,40.6953437,-80.3047846,40.6930827,-80.3446146,Link
New York,Foley Square,NY,10000,10000,"10,000",New Sanctuary Coalition,vigil,https://www.facebook.com/events/660338147748249/,40.7127753,-74.0059728,40.7141573,-74.0206528,Link
New York,Jacob Schiff Playground (West 137th St),NY,,,,general protestors,vigil,https://twitter.com/jbakernyc/status/1149803121935355904,40.7127753,-74.0059728,40.7153033,-74.0254828,Link
New York,Washington Heights,NY,,,,general protestors,vigil,https://twitter.com/jbakernyc/status/1149803121935355904,40.7127753,-74.0059728,40.7102553,-74.0004628,Link
Jersey City,Newark Avenue Pedestrian Mall,NJ,217,217,217,general protestors,vigil,https://www.facebook.com/events/433301624193030/,40.7177545,-74.0431435,40.7200435,-74.0001035,Link
Garden City,Unitarian Universalist Congregation of Central Nassau,NY,167,167,167,Unitarian Universalist Congregation of Central Nassau,vigil,https://www.facebook.com/events/308792503338089/,40.7267682,-73.6342954,40.7265322,-73.5858154,Link
Newark,Essex County Correctional Facility,NJ,124,124,124,SOMA Action Events,vigil,https://www.facebook.com/events/369581507029403/,40.735657,-74.1723667,40.73667,-74.1232267,Link
Lima,"The Unitarian Universalist Fellowship of Lima, Ohio",OH,26,26,26,AHEAD: Allen & Hardin for Election Action and Democracy,vigil,https://www.facebook.com/events/595110114350258/,40.742551,-84.1052256,40.743819,-84.0590856,Link
Hoboken,Church Square Park,NJ,75,75,75,Jen for Hoboken - 6th Ward Councilwoman,vigil,https://www.facebook.com/events/2052071231763964,40.7439905,-74.0323626,40.7409255,-74.0425526,Link
Salt Lake City,Washington Square Park; in front of the Salt Lake City and County Building ,UT,396,396,396,Raving Progressive Millennial,vigil,https://www.facebook.com/events/1054454298278770/,40.7607793,-111.8910474,40.7570943,-111.8993274,Link
Little Neck,250-02 Northern Blvd,NY,48,48,48,general protestors,vigil,https://www.facebook.com/events/475432903249796/,40.7612957,-73.7330753,40.7657247,-73.7770853,Link
Patchogue,31 Oak St,NY,250,250,250,general protestors,protest,https://www.facebook.com/events/669334850204853/,40.7659783,-73.019343,40.7696713,-73.055553,Link
Lexington,,NE,,,,General,General,https://www.facebook.com/events/2616040825093877/,40.7808398,-99.7415045,40.7807428,-99.7670645,Link
State College,Martin Luther King Plaza,PA,71,71,71,Centre County Lights for Liberty,vigil,https://www.facebook.com/events/1023773541159140/,40.7933949,-77.8600012,40.7903689,-77.8550112,Link
Morristown,Town Hall,NJ,24,24,24,general protestors,vigil,https://www.facebook.com/events/2353447801581075/,40.7967667,-74.4815438,40.7938227,-74.4675738,Link
Eureka,Humboldt County Courthouse,CA,71,71,71,True North Organizing Network,General,https://www.facebook.com/events/851196238579785/,40.8020712,-124.1636729,40.7979832,-124.1365129,Link
Wooster,Children's Arch,OH,27,27,27,general protestors,vigil,https://www.facebook.com/events/2403618606540430/,40.8050565,-81.935143,40.8079235,-81.925813,Link
Glen Ridge,St. Francis of Assisi American National Catholic Church,NJ,51,51,51,St. Francis of Assisi American National Catholic Church,vigil,https://www.facebook.com/events/476169819785136/,40.805378,-74.2037566,40.802428,-74.2470066,Link
Burlington,Homestead 1839,IA,40,40,40,general protestors,General,https://www.facebook.com/events/413322515940939/?notif_t=plan_user_associated&notif_id=1561606136858298,40.8076529,-91.1128901,40.8080629,-91.1325101,Link
Lincoln,State Capitol Building,NE,100,100,100,Families Belong Together Nebraska,vigil,https://www.facebook.com/events/1168786469995337/,40.813616,-96.7025955,40.813544,-96.7502855,Link
Montclair,40 South Fullerton Ave,NJ,152,152,152,Women for Progress,vigil,https://www.facebook.com/events/2353416041581456/,40.8259007,-74.2090053,40.8218947,-74.1627453,Link
Rutherford,Rutherford Congregational United Church of Christ,NJ,45,45,45,Rutherford Congregational United Church of Christ,vigil,https://www.facebook.com/events/352061785491478,40.826489,-74.1068091,40.826441,-74.0668691,Link
Verona Park,Verona Park Bridge,NJ,34,34,34,general protestors,vigil,https://www.facebook.com/events/646590925821045/,40.8269602,-74.2458379,40.8314012,-74.2842679,Link
Leonia,Broad Avenue and Crescent Avenue,NJ,,,,general protestors,vigil,https://www.facebook.com/events/749657358787189/,40.8614887,-73.9881942,40.8598527,-73.9925342,Link
Huntington,Huntington Village,NY,120,200,120 to 200,Families Belong Together Long Island,vigil,https://www.facebook.com/events/2291727064209103/,40.8681539,-73.425676,40.8684469,-73.458236,Link
Great Meadows,Vienna United Methodist Church,NJ,16,16,16,general protestors,vigil,https://www.facebook.com/events/507796019990568/,40.8706269,-74.911853,40.8747299,-74.929233,Link
Teaneck,municipal building,NJ,200,250,200 to 250,general protestors,vigil,https://www.facebook.com/events/2053989321574557,40.8932469,-74.0116536,40.8979269,-74.0246936,Link
Paterson,St. Paul's Episcopal Church,NJ,11,11,11,general protestors,vigil,https://www.facebook.com/events/315081459446775,40.9167654,-74.171811,40.9188734,-74.148091,Link
Riverhead,54 East Main St,NY,24,24,24,general protestors,vigil,https://www.facebook.com/events/505449366660537/,40.9170435,-72.6620402,40.9143675,-72.6773002,Link
Rockaway Township,Parks Lake,NJ,19,19,19,general protestors,vigil,https://www.facebook.com/events/573869566476341/,40.9300943,-74.4872422,40.9313833,-74.5370622,Link
Galesburg,Central Park,IL,65,65,65,general protestsors,General,https://www.facebook.com/events/383272152541719/,40.9478158,-90.3712395,40.9516458,-90.3865695,Link
Lewisburg,Beaver Memorial Church,PA,54,54,54,Beaver Memorial Church; Susquehanna Valley Ethical Society/ Ethical Humanism,vigil; march,https://www.facebook.com/events/340978409912167/,40.9645293,-76.8844101,40.9662303,-76.9317501,Link
Stroudsburg,Courthouse Square,PA,100,100,100,Indivisible Poconos,vigil,https://www.lightsforliberty.org/,40.9867609,-75.1946248,40.9899389,-75.2100248,Link
Sag Harbor,The Windmill 8 Wharf St,NY,200,200,200,general protestors,walk,https://www.facebook.com/events/2696821913895063/?active_tab=discussion,40.9978773,-72.2925819,40.9999523,-72.2567719,Link
Fairfield,Fellowship of the Holy Spirit,IA,23,23,23,general protestors,General,https://www.facebook.com/events/364880940882988/,41.0076114,-91.9636914,41.0125294,-91.9541814,Link
Greenwich,Greenwich Town Hall,CT,76,76,76,"Indivisible Greenwich, CT",General,https://www.facebook.com/events/882350875477009/,41.0262417,-73.6281964,41.0235817,-73.6470164,Link
White Plains,Tibbets Park,NY,300,300,300,Indivisible White Plains,vigil,https://www.facebook.com/events/911470555871376/,41.0339862,-73.7629097,41.0368942,-73.7272297,Link
Stamford,North Stamford Community Church,CT,50,50,50,North Stamford Community Church,vigil,https://www.facebook.com/events/2365462220259218/,41.0534302,-73.5387341,41.0531442,-73.5205941,Link
Fort Wayne,Allen County Courthouse,IN,200,200,200,general protestors,vigil,https://www.facebook.com/events/396536397873258/,41.079273,-85.1393513,41.083011,-85.1848813,Link
Nanuet,Intersection of Middletown Rd and Route 59,NY,300,300,300,general protestors,vigil,https://www.facebook.com/events/2298472826908187/,41.0887073,-74.013473,41.0881613,-74.019533,Link
Nanuet,Intersection at Middletown Rd & Rt 59 ,NY,70,77,70 to 77,general protestors,vigil,https://www.facebook.com/events/2298472826908187/,41.0887073,-74.013473,41.0914623,-73.986313,Link
Youngstown,The First Unitarian Universalist Church of Youngstown,OH,100,100,100,general protestors,vigil,https://www.facebook.com/events/495236764546125/,41.0997803,-80.6495194,41.0984963,-80.6633794,Link
Pleasantville,Gazebo and sidewalk along Metro North,NY,37,37,37,general protestors,vigil,https://www.facebook.com/events/pleasantville-ny-gazebo-and-sidewalk-along-metro-north/lights-for-liberty/351526875747304/,41.1333371,-73.7924152,41.1377681,-73.8160252,Link
Fairfield,Sherman Town Green,CT,150,200,150 to 200,Fairfield Standing United,General,https://www.facebook.com/events/306965213543673,41.1408363,-73.2612615,41.1450853,-73.2935015,Link
Chappaqua,"Gazebo, S Greely Ave",NY,100,150,100 to 150,Left of Main Street,vigil,https://www.facebook.com/events/596594877532393/,41.1595399,-73.764855,41.1571919,-73.747835,Link
Clarion,,PA,50,50,50,general protestors,vigil,https://twitter.com/ehhhhma/status/1149861454859968518,41.2147851,-79.3853218,41.2098631,-79.4149618,Link
Ogden,James V. Hansen Federal Building,UT,45,45,45,general protestors,vigil,https://www.facebook.com/events/708664779576646/,41.223,-111.9738304,41.227729,-112.0039604,Link
