CityTown,Location,StateTerritory,Country,Date,EstimateLow,EstimateHigh,Estimate,Actor,Source1,Source2,Source3,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Aberdeen,Anderson Park,SD,US,6/30/2018,70,70,70,Families Belong Together,https://act.moveon.org/event/families-belong-together/20643/signup/?source=&s=,http://dakotafreepress.com/2018/06/30/photos-families-belong-together-rally-in-aberdeen/,,45.4646985,-98.4864829,45.4599815,-98.4847339,Link
Abilene,Everman Park Downtown,TX,US,6/30/2018,156,156,156,Families Belong Together,https://act.moveon.org/event/families-belong-together/19993/signup/?source=&s=,https://www.facebook.com/events/2056884484569116/,,32.4487364,-99.7331439,32.4441934,-99.7380019,Link
Adrian,Old Lenawee County Courthouse,MI,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/20389/signup/?source=&s=,http://www.lenconnect.com/news/20180701/lenawee-county-protestors-decry-immigration-policy,,41.8433859,-84.0167423,41.8438289,-84.0173063,Link
Akron,Main and Mill,OH,US,6/30/2018,200,200,200,Families Belong Together,https://www.news5cleveland.com/news/local-news/akron-canton-news/200-in-akron-protest-immigrant-children-being-separated-from-their-parents-when-seeking-asylum,,,41.0814447,-81.5190053,41.0858797,-81.5174013,Link
Alameda,Intersection of Park St. & Santa Clara Ave.,CA,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20559/signup/?source=&s=,https://twitter.com/ReginaWalton/status/1013242759447134208,https://twitter.com/SteveBitker/status/1013149758037168128,37.7652065,-122.2416355,37.7692505,-122.2379215,Link
Alamosa,Cole Park,CO,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20162/signup/?source=&s=,,,37.4694491,-105.8700214,37.4666891,-105.8691204,Link
Alamogordo,White Sands Boulevard,NM,US,6/30/2018,75,75,75,Families Belong Together,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,https://www.alamogordonews.com/story/news/local/community/2018/07/03/alamogordos-we-trust-women-rally-asks-responsible-immigration-reform/753451002/,,32.8995325,-105.960265,32.8996605,-105.957382,Link
Albany,West Capitol Park,NY,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/20369/signup/?source=&s=,https://www.timesunion.com/news/article/Hundreds-protest-Trump-s-immigration-policies-in-13040036.php,,42.6525793,-73.7562317,42.6550683,-73.7612177,Link
Albany,Linn County Courthouse,OR,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20097/signup/?source=&s=,https://democratherald.com/news/local/hundreds-turn-out-at-mid-valley-immigration-rallies/article_3976d03c-c60b-5a0e-855a-272ba7077378.html,,44.6365107,-123.1059282,44.6323347,-123.1061102,Link
Albert Lea,Freeborn County Detention Center,MN,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/19997/signup/?source=&s=,https://twitter.com/ILCM_MN/status/1013102342147919874,https://www.kaaltv.com/news/ldquofamilies-belong-togetherrdquo-rallies-in-albert-lea-and-rochester-/4970505/,43.6478006,-93.3686555,43.6526966,-93.3671275,Link
Albuquerque,Civic Plaza,NM,US,6/30/2018,5000,5000,"5,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19877/signup/?source=&s=,https://twitter.com/NM_risestronger/status/1013153588640509952,,35.0843859,-106.650422,35.0814439,-106.654501,Link
Alexandria,Kingstowne Towne Center (glassy area),VA,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20036/signup/?source=&s=,http://www.fairfaxtimes.com/articles/alexandria-church-calls-for-immigrant-family-reunification/article_772852a6-7ee5-11e8-8b6e-fff99734edb8.html,,38.8048355,-77.0469214,38.8089925,-77.0507634,Link
Alliance,Box Butte County Courthouse,NE,US,6/30/2018,24,24,24,Families Belong Together,https://www.facebook.com/events/184566742232921/,,,42.0930235,-102.8702006,42.0944235,-102.8707966,Link
Alpine,Brewster County Courthouse lawn,TX,US,6/30/2018,150,150,150,Families Belong Together,https://act.moveon.org/event/families-belong-together/20310/signup/?source=&s=,https://twitter.com/HCookAustin/status/1013124700342505472,https://marfapublicradio.org/blog/in-alpine-and-across-u-s-protestors-march-against-trumps-immigration-policy/,30.3584919,-103.6610115,30.3550979,-103.6585965,Link
Alvarado,Prairieland Detention Center,TX,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20473/signup/?source=&s=,,,32.4065312,-97.2116782,32.4039312,-97.2067282,Link
Amarillo,Sanborn Park,TX,US,6/30/2018,36,36,36,Indivisible Amarillo,https://act.moveon.org/event/families-belong-together/20487/signup/?source=&s=,https://www.myhighplains.com/news/families-belong-together-rally-in-amarillo/1276181042,,35.2219971,-101.8312969,35.2223851,-101.8344969,Link
Ambler,Kohler Park Horsham,PA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20542/signup/?source=&s=,,,40.1545535,-75.2215651,40.1593155,-75.2188811,Link
Anacortes,Corner of 12th and Commercial,WA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20002/signup/?source=&s=,,,48.5126045,-122.6126718,48.5119555,-122.6115548,Link
Anchorage,Delaney Park Strip,AK,US,6/30/2018,200,348,200 to 348,Families Belong Together,https://act.moveon.org/event/families-belong-together/20065/signup/?source=&s=,https://www.facebook.com/events/1909211695765918/,https://www.adn.com/alaska-news/anchorage/2018/06/30/protesters-gather-on-anchorage-park-strip-against-family-separations-at-us-mexico-border/,61.2180556,-149.9002778,61.2191266,-149.8959628,Link
Andalusia,Court Square,AL,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20138/signup/?source=&s=,,,31.3085039,-86.4832913,31.3096039,-86.4866313,Link
Anderson,Dickmann Town Center Park,IN,US,6/30/2018,60,60,60,Families Belong Together,http://www.heraldbulletin.com/news/local_news/residents-community-members-gather-to-support-immigrant-children/article_48062ee0-c92c-5069-9e38-c931def9ac59.html,,,40.1053196,-85.6802541,40.1003256,-85.6846531,Link
Andover,Intersection of rt. 133 and rt. 28 (Shawsheen Square),MA,US,6/30/2018,35,35,35,Families Belong Together,https://act.moveon.org/event/families-belong-together/20573/signup/?source=&s=,https://www.facebook.com/events/279678005911580/,,42.6583356,-71.1367953,42.6630926,-71.1395983,Link
Angels Camp,Utica Park,CA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20364/signup/?source=&s=,,,38.0677832,-120.5385299,38.0705802,-120.5363759,Link
Angola,First Congregational United Church of Christ,IN,US,6/30/2018,60,60,60,Families Belong Together,https://www.facebook.com/CCCSteuben/?hc_ref=ARQU573It_Hywhe-nCGIAnIxcLCqXuNC2lJX6UFU0BMiQJT45mC1uzbZC6XfQ73bdHY&fref=nf,,,41.6347726,-84.9994088,41.6306606,-84.9963428,Link
Ann Arbor,The Diag,MI,US,6/30/2018,2000,2000,"2,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19847/signup/?source=&s=,https://www.mlive.com/expo/news/erry-2018/06/a96133224e9154/signs_spotted_at_the_families.html,,42.2808256,-83.7430378,42.2760406,-83.7382318,Link
Antler,,ND,US,6/30/2018,15,15,15,Families Belong Together,https://www.washingtonpost.com/local/tens-of-thousands-expected-to-descend-on-washington-to-protest-trumps-immigration-policy/2018/06/30/0e4a6a26-7bde-11e8-93cc-6d3beccdd7a3_story.html?utm_term=.e519c6f81bb9,https://twitter.com/JessLivMo/status/1013246104991911936,https://www.washingtonpost.com/local/tens-of-thousands-expected-to-descend-on-washington-to-protest-trumps-immigration-policy/2018/06/30/0e4a6a26-7bde-11e8-93cc-6d3beccdd7a3_story.html?noredirect=on&utm_term=.ac705feac6ff,48.9708532,-101.2823803,48.9669932,-101.2811603,Link
Appleton,Houdini Plaza,WI,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20152/signup/?source=&s=,https://www.stevenspointjournal.com/story/news/2018/06/30/wisconsin-protesters-denounce-separation-immigrant-families/734264002/,,44.2619309,-88.4153847,44.2650679,-88.4131337,Link
Arkville,,NY,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,,,42.1478659,-74.6198771,42.1451719,-74.6183021,Link
Arlington Heights,Village Hall; North School Park,IL,US,6/30/2018,700,700,700,Families Belong Together,https://act.moveon.org/event/families-belong-together/20547/signup/?source=&s=,http://www.dailyherald.com/news/20180627/arlington-heights-elgin-other-suburbs-join-national-families-belong-together-rallies,,42.0883603,-87.9806265,42.0915563,-87.9853135,Link
Asbury Park,Springwood Park,NJ,US,6/30/2018,200,300,200 to 300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20302/signup/?source=&s=,https://www.app.com/videos/news/2018/06/30/keep-families-together-rally-asbury-park-draws-hundreds/748168002/,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,40.2203907,-74.0120817,40.2175477,-74.0104977,Link
Asheville,68 Haywood,NC,US,6/30/2018,1000,1000,"1,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19994/signup/?source=&s=,http://wlos.com/news/local/live-families-belong-together-rally-in-downtown-asheville,https://www.citizen-times.com/picture-gallery/news/local/2018/06/30/over-1000-attend-asheville-families-belong-together-rally/36518767/,35.5950581,-82.5514869,35.5990661,-82.5526969,Link
Ashland,Ashland County Courthouse Lawn,WI,US,6/30/2018,60,60,60,Families Belong Together,https://act.moveon.org/event/families-belong-together/20432/signup/?source=&s=,https://americasvoice.org/press_releases/6000-ohioans-protested-family-separations-raids-deportations/,,46.5924428,-90.8837982,46.5898068,-90.8848122,Link
Astoria,"Astoria, 16th and Marine Drive, river side",OR,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20241/signup/?source=&s=,http://www.dailyastorian.com/Local_News/20180702/standing-together-in-astoria-against-family-separations,,46.1878841,-123.8312534,46.1879101,-123.8332114,Link
Athens,UGA Arch,GA,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20693/signup/?source=&s=,http://www.onlineathens.com/photogallery/GA/20180630/NEWS/630009999/PH/1,,33.9519347,-83.357567,33.9512257,-83.354169,Link
Atlanta,Atlanta City Detention Center,GA,US,6/30/2018,3000,3000,"3,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19832/signup/?&source=&s=,https://www.ajc.com/news/breaking-news/thousands-atlanta-rally-against-immigration-policy/55do7EkTYXZIYC3z1WvZ4I/,,33.7489954,-84.3879824,33.7488804,-84.3882094,Link
Auburn,Toomer's Corner,AL,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20124/signup/?source=&s=,https://www.facebook.com/events/1543296945799562/permalink/1562627747199815/,,32.6098566,-85.4807825,32.6142506,-85.4788855,Link
Auburn,Longley Bridge,ME,US,6/30/2018,200,200,200,Families Belong Together,http://www.sunjournal.com/protesters-of-trumps-immigration-policies-organize-rallies-across-maine-nation/,,,44.0978509,-70.2311655,44.0939489,-70.2282205,Link
Augusta,Maine State House,ME,US,6/30/2018,1000,1000,"1,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19858/signup/?source=&s=,https://www.centralmaine.com/2018/06/30/augusta-farmington-immigration-rallies-draw-hundreds/,,44.3106241,-69.7794897,44.3133491,-69.7778657,Link
Aurora,,CO,US,6/30/2018,,,Unknown,Families Belong Together,https://twitter.com/AuroraGunSense/status/1013089470353010689,,,39.7294319,-104.8319195,39.7285919,-104.8336315,Link
Aurora,City Hall,IL,US,6/30/2018,91,91,91,Families Belong Together,http://www.chicagotribune.com/suburbs/aurora-beacon-news/news/ct-abn-aurora-vigil-st-0702-story.html,https://www.facebook.com/events/447234425703884/,,41.7605849,-88.3200715,41.7641399,-88.3184655,Link
Austin,Texas State Capitol,TX,US,6/30/2018,8000,10000,"8,000 to 10,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19862/signup/?source=&s=,https://www.statesman.com/news/local/happening-today-thousands-rally-texas-capitol-end-family-separations/XKE7dz34maWjmQ47uUP2rL/ ,https://patch.com/texas/downtownaustin/thousands-set-attend-texasfamilies-belong-together-rallies,30.267153,-97.7430608,30.268135,-97.7407818,Link
Avalon,Casino Building to Wrigley Stage,CA,US,6/30/2018,34,34,34,Families Belong Together,https://twitter.com/lisakate111/status/1013176511078133760,,,33.3428193,-118.3282279,33.3384753,-118.3237919,Link
Bainbridge Island,Waypoint Park,WA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20578/signup/?source=&s=,,,47.6248791,-122.5210007,47.6250441,-122.5209507,Link
Bakersfield,ICE Office 800 Truxtun Ave,CA,US,6/30/2018,1000,1000,"1,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/20254/signup/?source=&s=,https://www.turnto23.com/news/local-news/more-than-one-thousand-people-take-part-in-local-families-belong-together-rally,,35.3732921,-119.0187125,35.3743871,-119.0203155,Link
Baltimore,Patterson Park,MD,US,6/30/2018,1500,1500,"1,500",Families Belong Together,https://act.moveon.org/event/families-belong-together/20720/signup/?source=&s=,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-immigrant-rights-rally-20180629-story.html,,39.2903848,-76.6121893,39.2856838,-76.6168903,Link
Bangor,Cascade Park,ME,US,6/30/2018,142,300,142 to 300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20118/signup/?source=&s=,http://www.wabi.tv/content/news/Hundreds-gather-in-Saturday-for-rally-against-current-immigration-policies-487034421.html,https://www.facebook.com/events/112892906242808/,44.8016128,-68.7712257,44.7993098,-68.7676197,Link
Bar Harbor,Bar Harbor Village Green,ME,US,6/30/2018,500,500,500,Families Belong Together,https://act.moveon.org/event/families-belong-together/20016/signup/?source=&s=,https://www.pressherald.com/2018/06/30/about-2000-people-protest-trump-immigration-policies-in-front-of-portland-city-hall/,http://mainebeacon.com/joining-national-wave-of-protest-2000-rally-against-family-separation-in-portland/,44.3876119,-68.2039123,44.3838529,-68.2005233,Link
Barnstable,Barnstable Village,MA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20058/signup/?source=&s=,,,41.7003208,-70.3002024,41.6978598,-70.2981554,Link
Barnstable,Unitarian Church of Barnstable,MA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20589/signup/?akid=undefined&zip=&source=,,,41.7003208,-70.3002024,41.6974628,-70.2977394,Link
Barrington,In front of Rep. Peter Roskam's Barrington Office,IL,US,6/30/2018,600,600,600,Families Belong Together,https://act.moveon.org/event/families-belong-together/20075/signup/?source=&s=,https://twitter.com/teresa337/status/1013104952858771457,http://www.chicagotribune.com/suburbs/highland-park/news/ct-hpn-immigration-detention-protest-north-suburbs-tl-0705-story.html,42.1539141,-88.1361888,42.1504301,-88.1355768,Link
Barstow,Fountain next to Union Bank,CA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20714/signup/?source=&s=,,,34.8957957,-117.0172826,34.8912387,-117.0188196,Link
Bath,"In front of the Customs House, on Front Street ",ME,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20603/signup/?source=&s=,,,43.9106353,-69.8206023,43.9118603,-69.8212693,Link
Baton Rouge,US Border Patrol Office,LA,US,6/30/2018,175,175,175,Families Belong Together,https://act.moveon.org/event/families-belong-together/20742/signup/?source=&s=,https://www.theadvocate.com/baton_rouge/multimedia/photos/collection_8fde6276-7c98-11e8-9beb-f3ffbd049627.html#4,https://www.facebook.com/PSNBatonRouge/posts/1045340548948967,30.4514677,-91.1871466,30.4498007,-91.1822946,Link
Battle Creek,Calhoun County Justice Center,MI,US,6/30/2018,130,132,130 to 132,Families Belong Together,https://act.moveon.org/event/families-belong-together/20306/signup/?source=&s=,https://www.youtube.com/watch?v=cXQ26stTad4,,42.3211522,-85.1797142,42.3196622,-85.1802102,Link
Bay St Louis + Pass Christian,Bay Bridge,MS,US,6/30/2018,24,24,24,Families Belong Together,https://act.moveon.org/event/families-belong-together/20509/signup/?source=&s=,https://twitter.com/JerameyForMS/status/1013104179416567808,http://www.wlox.com/story/38550338/protesters-march-in-south-ms-to-speak-out-against-immigration-policy,30.3157527,-89.2475429,30.3145637,-89.2513169,Link
Bayside,"Bell Blvd LIRR entrance, West Side of Street",NY,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20582/signup/?source=&s=,,,40.7585569,-73.7654367,40.7554299,-73.7614517,Link
Beacon,Polhill Park,NY,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20433/signup/?source=&s=,,,41.5048158,-73.9695832,41.5077418,-73.9651992,Link
Beaver,Beaver County Court House,PA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20107/signup/?source=&s=,,,40.6953437,-80.3047846,40.6937327,-80.3016276,Link
Bedminster,Clarence Dillon Public Library,NJ,US,6/30/2018,400,400,400,Families Belong Together,https://act.moveon.org/event/families-belong-together/20376/signup/?source=&s=,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,40.669264,-74.6804,40.672167,-74.684503,Link
Belchertown,Belchertown Common,MA,US,6/30/2018,250,250,250,Families Belong Together,https://act.moveon.org/event/families-belong-together/20407/signup/?source=&s=,http://www.gazettenet.com/Jody-Shapiro-Wonders-about-lack-of-coverage-18667273,,42.2770346,-72.4008884,42.2747366,-72.4017964,Link
Bellingham,Bellingham City Hall,WA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20423/signup/?source=&s=,,,48.7519112,-122.4786854,48.7476822,-122.4752594,Link
Bend,NW Greenwood Ave & NW Bond St (NE Corner) - Diagonal from Walden's office,OR,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20247/signup/?source=&s=,http://www.ktvz.com/news/hundreds-gather-in-bend-to-protest-immigration-policies/761494573,,44.0581728,-121.3153096,44.0597798,-121.3165856,Link
Berkeley,"Old City Hall Steps, 2134 Martin Luther King Jr Way",CA,US,6/30/2018,1500,1500,"1,500",Families Belong Together,https://act.moveon.org/event/families-belong-together/19916/signup/?source=&s=,http://www.berkeleyside.com/2018/06/30/around-1500-in-berkeley-declare-families-belong-together,,37.8715926,-122.272747,37.8736376,-122.271099,Link
Bethlehem,Payrow Plaza,PA,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20415/signup/?source=&s=,https://www.lehighvalleylive.com/news/index.ssf/2018/06/watch_lehigh_valley_rally_amon.html,,40.6259316,-75.3704579,40.6218506,-75.3743859,Link
Big Rapids,Big Rapids Community Library,MI,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20327/signup/?source=&s=,,,43.6980782,-85.4836557,43.7027402,-85.4815387,Link
Billings,Yellowstone County Courthouse,MT,US,6/30/2018,200,450,200 to 450,Families Belong Together,https://act.moveon.org/event/families-belong-together/20032/signup/?source=&s=,https://billingsgazette.com/news/local/crowd-of-hundreds-in-billings-rallies-to-reunite-separated-immigrant/article_853baff0-08d5-5c81-8d75-dca2ffd08fcf.html,http://www.kpax.com/story/38549287/billings-rally-protests-us-immigration-policy,45.7832856,-108.5006904,45.7830706,-108.5014114,Link
Binghamton,Federal Building,NY,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20051/signup/?source=&s=,https://eu.pressconnects.com/story/news/local/2018/06/30/binghamton-immigration-protest-trump-families/748222002/,,42.0986867,-75.9179738,42.0938047,-75.9181208,Link
Birmingham,Caldwell Park,AL,US,6/30/2018,200,850,200 to 850,Families Belong Together,https://act.moveon.org/event/families-belong-together/20069/signup/?source=&s=,https://www.facebook.com/events/474587226304743/,,33.5185892,-86.8103567,33.5214412,-86.8089337,Link
Bisbee,Iron man statue/ Coshise County Court House,AZ,US,6/30/2018,31,31,31,Families Belong Together,https://act.moveon.org/event/families-belong-together/20354/signup/?source=&s=,https://twitter.com/justamexican/status/1013150169188012034,,31.4481547,-109.9284084,31.4499687,-109.9324864,Link
Bishop,Bishop Park,CA,US,6/30/2018,47,47,47,Families Belong Together,https://act.moveon.org/event/families-belong-together/20142/signup/?source=&s=,https://www.facebook.com/events/1937670922951236/,,37.3614238,-118.3996636,37.3658098,-118.3950336,Link
Bloomington,Monroe County Courthouse,IN,US,6/30/2018,200,250,200 to 250,Families Belong Together,https://act.moveon.org/event/families-belong-together/20443/signup/?source=&s=,https://indianapublicmedia.org/news/hundreds-gather-courthouse-square-part-nationwide-immigration-protests-151025/,http://www.magbloom.com/2018/07/families-belong-together-rally-held-outside-courthouse-photo-gallery/,39.165325,-86.5263857,39.161775,-86.5311977,Link
Bluffton,Bluffton Village Town Center,SC,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20610/signup/?source=&s=,http://www.blufftontoday.com/news/20180701/immigration-policy-protesters-hold-bluffton-rally,,32.2371465,-80.8603868,32.2372985,-80.8653008,Link
Boca Raton,Sanborn Square,FL,US,6/30/2018,200,400,200 to 400,Families Belong Together,https://act.moveon.org/event/families-belong-together/20494/signup/?source=&s=,via website,http://www.sun-sentinel.com/local/broward/fl-sb-hollywood-diplomat-protest-20180630-story.html,26.3683064,-80.1289321,26.3720624,-80.1271261,Link
Boise,Idaho State Capitol Building,ID,US,6/30/2018,3000,3000,"3,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/20052/signup/?&source=&s=,https://twitter.com/mtnsoccerfan/status/1013183598071971840,https://www.idahostatesman.com/latest-news/article214123919.html,43.6150186,-116.2023137,43.6131976,-116.2051987,Link
Bonney Lake,18211 State Route 410 E,WA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20435/signup/?source=&s=,,,47.1770457,-122.1865055,47.1729717,-122.1824525,Link
Bordentown,,NJ,US,6/30/2018,24,36,24 to 36,Families Belong Together,https://act.moveon.org/event/families-belong-together_attend1/search/,https://www.facebook.com/david.w.ryan/videos/10215513220716227/,,40.1462213,-74.7118264,40.1436103,-74.7073494,Link
Boston,City Hall Plaza,MA,US,6/30/2018,5000,15000,"5,000 to 15,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19872/signup/?source=&s=,Boston Globe,,42.3600825,-71.0588801,42.3650665,-71.0585511,Link
Boston,South Bay House of Correction,MA,US,6/30/2018,100,100,100,Families Belong Together,https://www.nbcboston.com/news/local/Police-20-Arrested-Outside-Prison-During-Boston-Protest-487061901.html,,,42.3600825,-71.0588801,42.3553355,-71.0600061,Link
Bothell,Intersection of Bothell Way NE and Woodinville Drive,WA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20351/signup/?source=&s=,,,47.760111,-122.2054452,47.755757,-122.2062162,Link
Boulder,Unitarian Universalist Church of Boulder,CO,US,6/30/2018,700,1000,"700 to 1,000",Families Belong Together,https://www.facebook.com/events/200340574123626/permalink/212049349619415/,http://www.dailycamera.com/boulder-county-news/ci_31979785/boulder-county-demonstrators-decry-trump-administration-immigration-policies?source=mostpopular,,40.0149856,-105.2705456,40.0133386,-105.2667806,Link
Boulder,Walk around Thunderbird Lake at Frasier Meadows Retirement Community,CO,US,6/30/2018,250,250,250,Families Belong Together,https://act.moveon.org/event/families-belong-together/20617/signup/?akid=undefined&zip=&source=,http://www.dailycamera.com/boulder-county-news/ci_31979785/boulder-county-demonstrators-decry-trump-administration-immigration-policies?source=mostpopular,,40.0149856,-105.2705456,40.0160786,-105.2704756,Link
Boulder City,,NV,US,6/30/2018,25,25,25,Families Belong Together,https://twitter.com/RoseAnnRabiolaM/status/1013818718088916992,,,35.9782216,-114.8345117,35.9758476,-114.8350797,Link
Bowling Green,Senator Rand Paul’s Office,KY,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20131/signup/?source=&s=,https://www.bgdailynews.com/news/immigration-rally-draws-more-than-people/article_4934f211-4179-5ac7-801f-9d52ca2dd714.html,http://www.wnky.com/story/38554377/families-belong-together-rally-held-in-bowling-green,36.9685219,-86.4808043,36.9724529,-86.4837293,Link
Bowling Green,BG Green Space (Wooster Green),OH,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20519/signup/?source=&s=,https://americasvoice.org/press_releases/6000-ohioans-protested-family-separations-raids-deportations/,,41.3747744,-83.6513229,41.3763794,-83.6535279,Link
Bozeman,Bozeman Public Library,MT,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20624/signup/?source=&s=,https://www.bozemandailychronicle.com/news/we-are-fighting-to-be-equal-bozeman-crowd-rallies-against/article_5a76778a-fe66-5647-b09d-4dd24f5e3694.html,,45.6769979,-111.0429339,45.6731329,-111.0392169,Link
Brainerd,Along Washington Street near Brainerd Historic Water Tower,MN,US,6/30/2018,31,31,31,Families Belong Together,https://act.moveon.org/event/families-belong-together/20819/signup/?source=&s=,https://www.facebook.com/events/475355509602257/,,46.3526733,-94.2020084,46.3569553,-94.2048734,Link
Brattleboro,Brattleboro Common,VT,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20421/signup/?source=&s=,,,42.8509152,-72.5578678,42.8476972,-72.5537508,Link
Bremerton,Evergreen Rotary Park,WA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20412/signup/?source=&s=,,,47.5650067,-122.6269768,47.5670987,-122.6258018,Link
Brenham,Town Square,TX,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20008/signup/?source=&s=,,,30.1668828,-96.3977442,30.1688358,-96.3928212,Link
Brewster,1st Parish UU Church,MA,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20576/signup/?source=&s=,https://twitter.com/j_m_santiago/status/1013407291222183936,,41.7600902,-70.0827905,41.7611902,-70.0866595,Link
Bridgeport,Sts. Peter and Paul Ukrainian Catholic Church,PA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20028/signup/?source=&s=,,,40.1051084,-75.3451838,40.1061724,-75.3440488,Link
Bridgeton,Cumberland County Courthouse,NJ,US,6/30/2018,24,150,24 to 150,Families Belong Together,https://act.moveon.org/event/families-belong-together/20592/signup/?source=&s=,https://www.pressofatlanticcity.com/news/bridgeton-rally-opposes-family-separation-at-the-border/article_0086affb-62f2-5a93-8510-9d05333db4f0.html,http://www.snjtoday.com/story/38558376/families-belong-together-rally-in-bridgeton-shines-light-on-immigration-policy,39.427337,-75.2340768,39.424937,-75.2309708,Link
Bridgewater,Town Common,MA,US,6/30/2018,25,25,25,Bridgewater Citizens of Civility and Respect,http://www.enterprisenews.com/news/20180630/wearing-white-wielding-signs----bridgewater-residents-protest-trumps-immigration-policies,,,41.9903519,-70.9750541,41.9871879,-70.9763821,Link
Bristol,Bristol Sign,TX,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20148/signup/?source=&s=,,,32.4615287,-96.5699896,32.4650157,-96.5734546,Link
Brookline,,MA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20890/signup/?source=&s=,,,42.3317642,-71.1211635,42.3355792,-71.1163425,Link
Brooklyn,,NY,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,,,40.6781784,-73.9441579,40.6819204,-73.9441219,Link
